		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
20/02/19	6:05 p	83.1	83.2	83.0	80	76.3	11.0	N	0.92	15.0	NNW	81.6	92.0	90.5	---	29.618	0.00	0.00	18	0.13	19	0.0	0.00	0.0	0.000	0.063	84.0	75	75.2	92.7	0.000	109	1	95.6	5
20/02/19	6:10 p	82.9	83.1	82.9	81	76.5	10.0	N	0.83	15.0	N	81.7	91.7	90.5	---	29.620	0.00	0.00	13	0.09	14	0.0	0.00	0.0	0.000	0.062	84.0	75	75.2	92.7	0.000	104	1	91.2	5
20/02/19	6:15 p	82.8	82.9	82.8	80	76.0	10.0	N	0.83	12.0	N	81.6	91.1	89.9	---	29.625	0.00	0.00	9	0.06	11	0.0	0.00	0.0	0.000	0.062	83.9	76	75.5	92.8	0.000	106	1	93.0	5
20/02/19	6:20 p	82.7	82.8	82.7	81	76.3	9.0	N	0.75	13.0	NNW	81.9	91.1	90.3	---	29.621	0.00	0.00	4	0.03	5	0.0	0.00	0.0	0.000	0.061	83.9	76	75.5	92.8	0.000	95	1	83.3	5
20/02/19	6:25 p	82.5	82.7	82.5	81	76.1	7.0	N	0.58	11.0	NNW	82.5	90.6	90.6	---	29.624	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.061	83.8	76	75.4	92.5	0.000	101	1	88.6	5
20/02/19	6:30 p	82.3	82.5	82.3	81	75.9	6.0	NNE	0.50	10.0	NNW	82.3	90.0	90.0	---	29.624	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.060	83.7	76	75.3	92.3	0.000	102	1	89.5	5
20/02/19	6:35 p	82.2	82.4	82.2	82	76.2	7.0	N	0.58	10.0	NNE	82.2	90.1	90.1	---	29.629	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.060	83.7	76	75.3	92.3	0.000	105	1	92.1	5
20/02/19	6:40 p	82.1	82.2	82.1	81	75.7	7.0	N	0.58	14.0	N	82.1	89.5	89.5	---	29.632	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.6	76	75.2	92.0	0.000	108	1	94.7	5
20/02/19	6:45 p	82.1	82.2	82.1	81	75.7	8.0	N	0.67	11.0	NNW	81.8	89.5	89.2	---	29.631	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.5	77	75.5	92.1	0.000	101	1	88.6	5
20/02/19	6:50 p	82.1	82.2	82.1	82	76.1	9.0	N	0.75	15.0	N	81.2	89.8	88.9	---	29.637	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.4	77	75.4	91.8	0.000	106	1	93.0	5
20/02/19	6:55 p	82.1	82.2	82.1	82	76.1	7.0	N	0.58	11.0	NNW	82.1	89.8	89.8	---	29.638	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.4	77	75.4	91.8	0.000	105	1	92.1	5
20/02/19	7:00 p	82.1	82.2	82.1	82	76.1	10.0	N	0.83	16.0	N	80.7	89.8	88.4	---	29.639	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.3	77	75.3	91.5	0.002	110	1	96.5	5
20/02/19	7:05 p	82.1	82.2	82.1	81	75.7	8.0	N	0.67	11.0	N	81.8	89.5	89.2	---	29.639	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.3	77	75.3	91.5	0.000	107	1	93.9	5
20/02/19	7:10 p	82.1	82.2	82.1	81	75.7	8.0	N	0.67	11.0	N	81.8	89.5	89.2	---	29.641	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.2	77	75.2	91.3	0.000	108	1	94.7	5
20/02/19	7:15 p	82.1	82.1	82.1	81	75.7	10.0	N	0.83	16.0	NNW	80.7	89.5	88.1	---	29.645	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.1	77	75.1	91.0	0.000	109	1	95.6	5
20/02/19	7:20 p	82.1	82.1	82.0	80	75.3	8.0	N	0.67	15.0	NNE	81.8	89.2	88.9	---	29.649	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.1	77	75.1	91.0	0.000	107	1	93.9	5
20/02/19	7:25 p	82.0	82.1	82.0	81	75.6	8.0	N	0.67	13.0	N	81.7	89.2	88.9	---	29.650	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.0	77	75.0	90.7	0.000	108	1	94.7	5
20/02/19	7:30 p	81.9	82.0	81.9	81	75.5	8.0	N	0.67	11.0	N	81.6	89.0	88.7	---	29.651	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.0	77	75.0	90.7	0.000	106	1	93.0	5
20/02/19	7:35 p	81.9	82.0	81.9	82	75.9	7.0	N	0.58	11.0	N	81.9	89.3	89.3	---	29.655	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.059	83.0	77	75.0	90.7	0.000	108	1	94.7	5
20/02/19	7:40 p	81.8	82.0	81.8	82	75.8	5.0	N	0.42	8.0	N	81.8	89.0	89.0	---	29.655	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.058	83.0	77	75.0	90.7	0.000	106	1	93.0	5
20/02/19	7:45 p	81.7	81.8	81.7	82	75.7	4.0	NNE	0.33	8.0	N	81.7	88.8	88.8	---	29.662	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.058	82.9	78	75.3	90.8	0.000	106	1	93.0	5
20/02/19	7:50 p	81.7	81.7	81.6	82	75.7	4.0	N	0.33	8.0	N	81.7	88.8	88.8	---	29.663	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.058	82.8	78	75.2	90.5	0.000	103	1	90.4	5
20/02/19	7:55 p	81.7	81.7	81.6	82	75.7	5.0	N	0.42	10.0	N	81.7	88.8	88.8	---	29.665	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.058	82.8	78	75.2	90.5	0.000	110	1	96.5	5
20/02/19	8:00 p	81.6	81.7	81.6	82	75.6	5.0	N	0.42	8.0	NNE	81.6	88.5	88.5	---	29.670	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.058	82.8	78	75.2	90.5	0.002	107	1	93.9	5
20/02/19	8:05 p	81.5	81.6	81.5	82	75.5	5.0	N	0.42	8.0	NNE	81.5	88.3	88.3	---	29.669	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.057	82.7	78	75.1	90.2	0.000	109	1	95.6	5
20/02/19	8:10 p	81.5	81.5	81.5	83	75.8	7.0	N	0.58	12.0	NNE	81.5	88.5	88.5	---	29.670	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.057	82.7	78	75.1	90.2	0.000	102	1	89.5	5
20/02/19	8:15 p	81.4	81.5	81.4	82	75.4	5.0	N	0.42	9.0	N	81.4	88.0	88.0	---	29.674	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.057	82.7	78	75.1	90.2	0.000	106	1	93.0	5
20/02/19	8:20 p	81.4	81.5	81.4	83	75.7	7.0	N	0.58	13.0	N	81.4	88.3	88.3	---	29.681	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.057	82.7	78	75.1	90.2	0.000	106	1	93.0	5
20/02/19	8:25 p	81.3	81.4	81.3	83	75.6	5.0	NNE	0.42	9.0	NNE	81.3	88.0	88.0	---	29.686	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.057	82.6	78	75.0	90.0	0.000	107	1	93.9	5
20/02/19	8:30 p	81.2	81.3	81.2	82	75.2	6.0	N	0.50	13.0	N	81.2	87.5	87.5	---	29.690	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.6	78	75.0	90.0	0.000	104	1	91.2	5
20/02/19	8:35 p	81.2	81.3	81.2	83	75.5	5.0	N	0.42	10.0	N	81.2	87.8	87.8	---	29.694	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.5	78	74.9	89.7	0.000	107	1	93.9	5
20/02/19	8:40 p	81.2	81.3	81.2	83	75.5	5.0	N	0.42	9.0	NNE	81.2	87.8	87.8	---	29.696	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.5	78	74.9	89.7	0.000	112	1	98.2	5
20/02/19	8:45 p	81.2	81.2	81.1	83	75.5	6.0	N	0.50	11.0	NNE	81.2	87.8	87.8	---	29.696	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.5	79	75.3	90.0	0.000	104	1	91.2	5
20/02/19	8:50 p	81.1	81.2	81.1	83	75.4	4.0	N	0.33	8.0	NNE	81.1	87.5	87.5	---	29.702	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.4	79	75.2	89.7	0.000	108	1	94.7	5
20/02/19	8:55 p	81.1	81.1	81.0	83	75.4	5.0	NNE	0.42	9.0	NNE	81.1	87.5	87.5	---	29.703	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.4	79	75.2	89.7	0.000	105	1	92.1	5
20/02/19	9:00 p	81.1	81.1	81.0	83	75.4	5.0	N	0.42	9.0	N	81.1	87.5	87.5	---	29.703	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.3	79	75.1	89.4	0.001	107	1	93.9	5
20/02/19	9:05 p	81.1	81.2	81.1	83	75.4	7.0	N	0.58	11.0	NNE	81.1	87.5	87.5	---	29.704	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.3	79	75.1	89.4	0.000	110	1	96.5	5
20/02/19	9:10 p	81.2	81.2	81.1	83	75.5	6.0	N	0.50	10.0	NNE	81.2	87.8	87.8	---	29.707	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.2	79	75.0	89.2	0.000	107	1	93.9	5
20/02/19	9:15 p	81.1	81.2	81.1	83	75.4	6.0	N	0.50	12.0	NE	81.1	87.5	87.5	---	29.711	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.2	79	75.0	89.2	0.000	105	1	92.1	5
20/02/19	9:20 p	81.1	81.2	81.1	83	75.4	5.0	NNE	0.42	9.0	N	81.1	87.5	87.5	---	29.707	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.2	79	75.0	89.2	0.000	109	1	95.6	5
20/02/19	9:25 p	81.1	81.1	81.1	83	75.4	4.0	N	0.33	8.0	N	81.1	87.5	87.5	---	29.706	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.2	79	75.0	89.2	0.000	107	1	93.9	5
20/02/19	9:30 p	81.0	81.1	81.0	83	75.3	5.0	N	0.42	10.0	N	81.0	87.3	87.3	---	29.707	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.056	82.2	80	75.4	89.5	0.000	107	1	93.9	5
20/02/19	9:35 p	80.9	81.0	80.9	84	75.6	5.0	NNE	0.42	10.0	NNE	80.9	87.3	87.3	---	29.707	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	82.1	80	75.3	89.2	0.000	107	1	93.9	5
20/02/19	9:40 p	80.9	80.9	80.8	84	75.6	5.0	NNE	0.42	10.0	N	80.9	87.3	87.3	---	29.712	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	82.1	80	75.3	89.2	0.000	113	1	99.1	5
20/02/19	9:45 p	80.8	80.9	80.8	84	75.5	5.0	NNE	0.42	11.0	N	80.8	87.1	87.1	---	29.711	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	82.0	80	75.2	88.9	0.000	105	1	92.1	5
20/02/19	9:50 p	80.8	80.9	80.7	84	75.5	7.0	N	0.58	11.0	N	80.8	87.1	87.1	---	29.717	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	82.0	80	75.2	88.9	0.000	110	1	96.5	5
20/02/19	9:55 p	80.8	80.9	80.7	84	75.5	5.0	N	0.42	9.0	N	80.8	87.1	87.1	---	29.719	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	81.9	80	75.1	88.7	0.000	111	1	97.4	5
20/02/19	10:00 p	80.7	80.8	80.7	84	75.4	5.0	NNE	0.42	10.0	NNE	80.7	86.9	86.9	---	29.720	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	82.0	81	75.6	89.2	0.001	104	1	91.2	5
20/02/19	10:05 p	80.7	80.7	80.6	84	75.4	5.0	N	0.42	9.0	N	80.7	86.9	86.9	---	29.723	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	81.9	81	75.5	89.0	0.000	107	1	93.9	5
20/02/19	10:10 p	80.7	80.7	80.6	84	75.4	6.0	NNE	0.50	11.0	N	80.7	86.9	86.9	---	29.721	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.055	81.9	81	75.5	89.0	0.000	110	1	96.5	5
20/02/19	10:15 p	80.6	80.7	80.6	84	75.3	6.0	N	0.50	13.0	NNE	80.6	86.7	86.7	---	29.723	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.054	82.0	81	75.6	89.2	0.000	115	1	100.0	5
20/02/19	10:20 p	80.6	80.7	80.5	84	75.3	6.0	NNE	0.50	9.0	NNE	80.6	86.7	86.7	---	29.722	0.00	0.00	0	0.00	0	0.0	0.00	0.0	0.000	0.054	82.0	80	75.2	88.9	0.000	115	1	100.0	5
